S_ID;Standort;Geo_Breite;Geo_Laenge;Hoehe;Betreiber;
10004;UFS TW Ems;54,167;6,350;14;DWD;
10007;UFS Deutsche Bucht;54,183;7,433;14;DWD;
10015;Helgoland;54,183;7,900;4;DWD;
10020;List auf Sylt;55,017;8,417;26;DWD;
10035;Schleswig;54,533;9,550;43;DWD;
10044;Leuchtturm Kiel;54,500;10,283;5;DWD;
10046;Kiel-Holtenau;54,383;10,150;31;Bw;
10055;Fehmarn;54,533;11,067;3;DWD;
10091;Arkona;54,683;13,433;42;DWD;
10113;Norderney;53,717;7,150;11;DWD;
10124;Leuchtturm Alte Weser;53,000;8,133;30;DWD;
10131;Cuxhaven;53,867;8,700;5;DWD;
10147;Hamburg-Fuhlsbüttel;53,633;10,000;16;DWD;
10162;Schwerin;53,650;11,383;59;DWD;
10170;Rostock-Warnemünde;54,183;12,083;4;DWD;
10184;Greifswald;54,100;13,400;2;DWD;
10200;Emden-Flugplatz;53,383;7,400;0;DWD;
10224;Bremen;53,050;8,800;4;DWD;
10264;Marnitz;53,317;11,933;81;DWD;
10270;Neuruppin;52,900;12,817;38;DWD;
10291;Angermünde;53,033;14,000;56;DWD;
10315;Münster/Osnabrück;52,133;7,700;48;DWD;
10338;Hannover;52,467;9,700;55;DWD;
10361;Magdeburg;52,133;11,600;79;DWD;
10379;Potsdam;52,383;13,067;81;DWD;
10381;Berlin-Dahlem (FU);;;;;
10382;Berlin-Tegel;52,567;13,317;37;DWD;
10384;Berlin-Tempelhof;52,467;13,400;50;DWD;
10393;Lindenberg;52,217;14,117;98;DWD;
10400;Düsseldorf;51,283;6,767;45;DWD;
10427;Kahler-Asten;51,183;8,483;839;DWD;
10430;Bad Lippspringe;51,783;8,833;157;DWD;
10438;Kassel;51,300;9,450;231;DWD;
10439;Fritzlar;51,117;9,283;172;Bw;
10453;Brocken;51,800;10,617;1142;DWD;
10469;Leipzig/Halle;51,417;12,233;142;DWD;
10488;Dresden-Klotzsche;51,133;13,783;230;DWD;
10496;Cottbus;51,783;14,317;69;DWD;
10499;Görlitz;51,167;14,950;238;DWD;
10505;Aachen-Orsbach;50,800;6,150;231;DWD;
10506;Nürburg-Barweiler;50,367;6,867;485;DWD;
10513;Köln-Bonn;50,867;7,167;91;DWD;
10532;Gießen/Wettenberg;50,600;8,650;203;DWD;
10544;Wasserkuppe;50,500;9,950;921;DWD;
10548;Meiningen;50,567;10,383;450;DWD;
10554;Erfurt-Weimar;50,983;10,967;315;DWD;
10567;Gera-Leumnitz;50,883;12,133;311;DWD;
10578;Fichtelberg;50,433;12,950;1213;DWD;
10609;Trier-Petrisberg;49,750;6,667;265;DWD;
10616;Hahn;49,950;7,267;502;DWD;
10637;Frankfurt/M-Flughafen;50,050;8,600;111;DWD;
10641;Offenbach-Wetterpark;50,083;8,783;119;DWD;
10655;Würzburg;49,767;9,967;268;DWD;
10675;Bamberg;49,883;10,917;239;DWD;
10685;Hof;50,317;11,883;567;DWD;
10688;Weiden;49,667;12,183;438;DWD;
10708;Saarbrücken-Ensheim;49,217;7,117;322;DWD;
10729;Mannheim;49,517;8,550;96;DWD;
10731;Rheinstetten;48,967;8,317;116;DWD;
10738;Stuttgart-Echterdingen;48,683;9,217;396;DWD;
10742;Öhringen;49,217;9,517;276;DWD;
10763;Nürnberg;49,500;11,083;319;DWD;
10776;Regensburg;49,050;12,100;366;DWD;
10788;Straubing;48,833;12,567;350;DWD;
10791;Großer Arber;49,117;13,133;1437;DWD;
10805;Lahr;48,367;7,833;155;DWD;
10815;Freudenstadt;48,450;8,417;797;DWD;
10836;Stötten;48,667;9,867;734;DWD;
10852;Augsburg;48,433;10,950;462;DWD;
10870;München/Flughafen;48,367;11,800;453;DWD;
10895;Fürstenzell;48,550;13,350;476;DWD;
10908;Feldberg/Schwarzwald;47,883;8,000;1486;DWD;
10929;Konstanz;47,683;9,183;443;DWD;
10946;Kempten;47,717;10,333;705;DWD;
10948;Oberstdorf;47,400;10,283;810;DWD;
10961;Zugspitze;47,417;10,983;2960;DWD;
10962;Hohenpeißenberg;47,800;11,017;977;DWD;